Nom de l'événement|Type |Effet|Tas de couleurs|Type de plantes|Gain de résolution|Cas d'échec|Description||Liste_déroulante_type|Liste_déroulante_difficulté
Chantier|Négative|Défaussez les deux premières cartes du paquet plantes non recensées du continent X.|Facile|None|None|None|De nouveaux résidents arrivent en ville ! Chouette, n'est-ce pas ? Bon, peut-être un peu moins pour les espèces végétales qui habitaient les lieux.||Positive|Facile
Inondations|Négative|Défaussez les trois premières cartes du paquet plantes non recensées du continent X.|Facile|Forêt pluvieuse, Forêt tempérée, Prairies|None|None|Les plantes, ça aime l'eau, non ? Visiblement, pas dans ces quantités.||Négative|Moyen
Bénévolat|Positive|Le conservatoire botanique X bénéficie du pion Bénévole ce tour-ci.|Facile|None|1 ouvrier en plus à répartir |None|Ça fait 40 ans qu'Eliott aide bénévolement l'effort de recensement du Conservatoire de X. Merci Eliott.||Mission|Difficile
Braconnage|Négative|Défaussez la carte du paquet plantes recensées dont l'effectif total est le plus faible du continent X.|Facile|None|None|None|Les banques, c'est pour les amateurs. Les plantes exotiques, ça c'est un vrai buisness.|||
Doux printemps|Positive|Ajoutez une carte de la zone morte du continent X au paquet des plantes non recensées de ce continent. Mélangez ensuite ce paquet.|Facile|Forêt tempérée, Prairies|None|None|La brise printanière semble être accompagnée de changements bienvenus.|||
Subventions|Positive|Le conservatoire botanique X gagne X argent.|Facile|None|X d'argent|None|Des subventions ? Dans cette économie ?! En voilà une bonne nouvelle.|||
Recensement|Mission|A la fin du prochain tour, la moitiée des espèces végétales en jeu doit être recensée, tout continent confondu.|Facile|None|Augmentation du niveau d'éducation des conservatoires botaniques par 1,|None|Tout savoir sur tout, la base de toute mission d'espionnage. Ou botanique !|||
Sécheresse |Négative|Défaussez les trois premières cartes du paquet plantes non recensées du continent X.|Facile|None|None|None|L'été, le temps parfait pour cuire à petit feu dans son hamac avec vue sur le terrain de golf verdoyant du voisin.|||
Avalanche|Négative|Défaussez les deux premières cartes du paquet plantes non recensées du continent X.|Facile|Forêt de conifères, Tundra|None|None|Les ravages d'une avalanche n'emportent pas que quelques randonneurs imprudents...|||
Vague de froid|Négative|Défaussez les trois premières cartes du paquet plantes non recensées du continent X.|Facile|None|None|None|Un vent frais soudain n'est pas de bon augure  après un printemps prématuré,|||
Prise de conscience|Positive|Le niveau d'éducation de tous les conservatoires botaniques augmente d'un.|Moyen|None|None|None|Comme quoi, les élèves ne faisaient pas que dormir pendant mes conférences.|||
Incendies|Négative|Défaussez les trois premières cartes du paquet plantes non recensées du continent X.|Moyen |None|None|None|La photosynthèse, un processus magnifique par lequel les espèces végétales tirent de la lumière solaire l'énergie qui leur est nécessaire. Au vu des flammes, les plantes ont décidé de faire un peu de zèle aujourd'hui.|||
Sauvegarde urgente|Mission|A la fin du tour suivant, l'espèce X doit être sécurisée dans la moitiée des Conservatoires Botaniques. |Moyen |None|X d'argent|None|Mieux vaut agir vite, on a vu meilleure perspective que la disparition d'une espèce,|||
Gel|Négative|Défaussez les deux premières cartes du paquet plantes non recensées du continent X.|Moyen |Forêt Tempérée|None|None|Les fleurs éclosent, les champs sont prêts bien plus tôt que prévus pour la récolte. Dommage que ça n'ait duré que quelques jours. Fait un peu frisquet, 'trouvez pas ?|||
Sensibilisation|Mission|A la fin du tour suivant, le niveau d'éducation de chaque Conservatoire Botanique doit être de X ou plus.|Moyen |None|X d'argent|None|Sauvegarder la diversité des espèces végétales dans le monde, ça vous dit quelque chose ? Non ? Bon, et ben on a du pain sur la planche on dirait.|||
Théorie du Complot|Négative|Le niveau d'éducation de tous les Conservatoire Botanique baisse d'un.|Moyen |None|None|None|Saviez-vous que la terre avait été aplanie il y a plus de 10 000 ans par les reptiliens de Babylone en vue du retour des Illuminati ?|||
Sècheresse importante|Négative|Défaussez les cinq premières cartes du paquet plantes non recensées du continent X.|Difficile|None|None|None|Un aller simple pour le Sahara ? Mais y a marqué Nouvelle-Aquitaine sur le billet Ewen.|||
Espèce invasive|Négative|Ajoutez les deux premières cartes du paquet plantes non recensées du continent X sous la pile du paquet plantes recensées dont l'effectif global est le plus important. |Difficile|1 plante au hasard parmi les 5 plus nombreuses|None|None|Se développer, encore, et encore, multiplier notre nombre et nos ressources. Non, il ne s'agit pas du programme du parti Ultra-Productiviste de Productania, juste du comportement de cette espèce.|||
Déforestation|Négative|Défaussez les cinq premières cartes du paquet plantes non recensées du continent X.|Difficile|None|None|None|"""Des arbres, y en a partout dans le monde, un de plus, un de moins, ça fait pas beaucoup de différence !"""|||
Tornade|Négative|Défaussez les trois premières cartes du paquet plantes non recensées de chaque continent.|Difficile|Desert|None|None|Un arbre qui vole, quel spectacle magnifique. Bon, c'est quand même dommage pour la maison des voisins...|||
Pollution importante|Négative|Défaussez les trois premières cartes du paquet plantes non recensées de chaque continent.|Difficile|Tous les biomes|None|None|"""Le liquide violacé déversé dans la rivière jouxtant notre usine est parfaitement sain pour l'environnement, je peux vous l'assurer."""
